Țară/Regiuine,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28
Brazil,0.22646733468741273,0.5848207166062195,0.034928404947939695,0.004002523596921442,0.0519953049458239,0.02790438692034711,0.0665224199938397,0.000433317856088963,0.0006219647215429688,9.620464431786943e-05,7.389289747001054e-08,0.0005945622041536149,0.00019116918833100393,0.00030040351026359963,0.0004792205106191251,9.144408350256315e-06,0.00028547794403007727,4.1747171747610266e-05,1.61306118873634e-05,0.00022349912490465966,1.1114453993444342e-06,2.7392877955267265e-05,3.2960771175462406e-05,3.3546449218895216e-06,8.165564946395122e-07,8.709606360663497e-08,1.44596900817248e-07,1.245234504984468e-07
British Virgin Islands,0.37551538672578105,0.039612312105134787,0.010440971279660817,0.03218977506316555,0.11204050768991297,0.056612812440958345,0.09253796223288821,0.052287984081864615,0.03009016838635716,0.013902947618348755,0.1207406854616468,3.748233353797362e-05,0.00019904403670464058,0.00928067104395401,0.004259941599384077,0.020130405992898084,0.00039319605656534015,0.0009311612492176874,0.0010428651660817564,0.0011867648114185275,0.016100529568010752,0.009317272894470291,3.398973677140863e-05,3.1609867188353104e-05,0.0010039642191559616,4.2721747822624456e-05,3.60387568734732e-05,8.278342259603003e-07
Brunei Darussalam,0.6637265999704208,0.14068704314778047,0.00061413055059017,0.023755513036632328,0.09498566148340917,0.017212617803360097,0.00518424092703411,1.981625313451989e-05,0.0008085881573464493,0.0032420635539089798,0.0046182146174998245,0.005877105094204825,0.0011526646889232653,0.002690518061387181,0.006897495643027579,0.0008501903881871437,0.017524711914896286,0.004918867891283081,0.00018018777143480417,0.0042048170213955256,0.00041545200845240877,6.658748484755297e-05,3.961410283207581e-06,0.00034409183758441977,8.960379010504958e-06,8.738552224213531e-06,3.7808647157873153e-07,7.822652695461509e-07
Bulgaria,0.3551375154297531,0.08488253673411666,0.0008966651489534395,0.13249397006039798,0.13889963654339824,0.21956467454137749,0.0046844028066332965,0.013479581272626141,0.00024461609725950114,0.004235697563265836,0.001843547592080901,0.010101914362253555,0.018188651747124366,0.0017839775358803414,0.00589966553016147,0.0005979170533039356,0.0011038721803392593,0.00016611918940164546,0.0006033259897019032,0.003252000393816501,0.0017320461675252596,9.43471612441753e-06,3.8120097884750665e-06,0.0001401320669031038,4.409492263993599e-05,4.235263441782822e-07,7.087371445574756e-07,9.060081684326922e-06
Burkina Faso,0.4263781501753304,0.03944043977792538,0.0032558370489194637,0.16951556991142203,0.1236866295196261,0.07370074288026114,0.07677194487363952,0.015609418950179586,0.021517474141748844,0.009245779003091622,0.0033475713798055634,0.007758562114498481,0.007173639655145953,0.0007554602684823946,3.884007521317518e-05,0.0023684132378509254,0.004550470855296175,0.0025833577070715993,0.004265425233504316,0.0015464346726122302,0.005729474276767344,5.0424378275251106e-05,0.00016460136480202505,0.00024360901690087414,0.0001896284831737994,9.992504715862624e-05,9.966491602238615e-06,2.2094596949734055e-06
Burundi,0.7487703993957135,0.10360369330181245,0.001983050833107449,0.035825917822821664,0.006229847341377651,0.06751462307869135,0.00024068506973287405,0.008731178564039004,0.002687476060493749,0.0008745458317869429,0.0026259726422129836,0.0020422544311602016,0.00019483753371985383,0.0023748907798527533,0.011846614508098733,0.0007449805353642669,0.0005129679125923701,0.00013382742667358724,0.00010305055636283034,0.0008716096058254972,0.0005712950491841443,1.1887482748808066e-05,0.0003761091276734476,0.0004091100865525639,0.0007045132068789285,1.0061825994259223e-05,3.5137417547714475e-06,1.0862477735395683e-06
Cabo Verde,0.7705268022283074,0.1080626679171411,0.0030352558031316447,0.01682913617839867,0.0031360161066275737,0.0783474803260169,0.00073992146621064,0.0035978071353734175,0.0047437963495641534,0.003489739437809561,0.0011364748090444184,8.623289471096683e-07,0.0033984288820457856,0.0005291115351077354,0.001462164420643434,7.611216119708875e-06,0.0002123255445724767,1.3888146155929097e-05,8.076822901457691e-05,3.2565580259894574e-05,1.3324079325850277e-07,4.4302745685129985e-06,0.0002646610621045633,0.00018038670484751961,0.00015228113365839033,9.632849346447774e-06,5.640960201582546e-06,1.0133987582027846e-08
Cambodia,0.21995578175109498,0.25492369840890744,0.04135974683955495,0.07232198074950813,0.09686020017557598,0.04218099290498263,0.0331805218694736,0.004933037747124838,0.006369651976345657,0.03933514468528802,0.002023562077743514,0.12269100764112091,0.007802364762305337,0.029073865751211396,0.00031529142784153606,0.006505248311562881,0.0013259073875394821,0.0007032568010226807,0.0023698354613887426,0.00025267693139767954,0.01094448386107621,0.0014072421851560526,0.0007186611441366602,7.203816407775585e-05,0.002272922240187363,9.125474574802828e-05,4.345718524496726e-07,9.189426775188399e-06
Cameroon,0.544214987140041,0.20957757432674476,0.04461454025756333,0.054851251852961753,0.008410743149235091,0.05067632420918578,0.025369617386702348,0.00016317996909954468,0.004999184217963774,1.1741643993225857e-05,0.002596631082152358,0.005857677357778374,0.0012235941393995916,0.0023916729715179686,0.003922882929080334,0.001602781827039286,0.007083022449591884,0.0029419024197688253,0.003407119016091362,0.010059112707832088,0.01052598794823702,0.00025701441327323537,7.774131970182587e-06,0.0024231201971113337,0.002770027482329177,1.9068271125076963e-05,1.1671430630340878e-05,9.795071581027027e-06
Canada,0.22840169076554284,0.046917813735314166,0.03011910296593487,0.22567046358214274,0.12799431039644737,1.566661353785258e-05,0.007347315275540306,0.03443942739346516,0.10012513193694096,0.00426031789684964,0.014801319651037611,0.014436595419085095,0.0874579177689414,0.009448258271552224,0.05450651387442241,0.0007232850617821321,0.0007253595665677318,0.0037333348927782385,0.0005263430765097925,0.004303181742895062,0.001981600166411186,0.00045098259785321686,2.7686685588308664e-05,0.00013629270283524198,0.0012613388317053186,0.00017017159514976925,1.84816282211917e-05,9.59049481468179e-08
Cayman Islands,0.547662634046519,0.1280611300337058,0.005042713796681385,0.02428424193979623,0.04257416662929223,0.08286337055510834,0.00023533127626645419,0.007670652186890314,0.0036548625091487536,0.024870647694622904,0.09338963725585706,0.0022694229805599792,0.0019368115767729225,0.00011368480079833273,0.008128575308332036,0.0001809339223599856,0.0002488997785054987,0.015054119213907919,1.414253857261235e-06,0.0003844213838009784,8.796460863683825e-05,0.006639326342358274,0.0027336199429965724,0.001122484145519023,6.460540806879212e-06,0.0007231893836336338,5.927982291851241e-05,4.07034666288041e-09
Central African Republic,0.009596531557317548,0.5386223167162562,0.0821389881888062,0.012003945674129556,0.1139416099732877,0.04230020086012194,0.139306061050664,7.99017653153633e-05,0.04796845960152606,0.001138912047821105,0.001773474258216133,0.0004991778964891637,0.00010547214556778098,0.007015286681236753,0.0017294670029464523,0.00118059751724196,0.0003872373676594685,4.195980518993229e-05,9.874410457223662e-06,4.070166189308306e-05,3.607967207962119e-05,5.6952556142805425e-05,6.083181692428171e-06,3.4880238237350603e-06,4.375834796862176e-06,1.2217950313741932e-05,4.2753614852669756e-07,1.9906285860905415e-07
Chad,0.0641907714835944,0.07322347766271438,0.014825394775992082,0.09202902763567387,0.13478156258795504,0.00246023172918018,0.18154017757765806,0.000321082347139988,0.24006121607845046,0.056127729480023265,0.02073776973393393,0.0034710648517169516,0.008803374926132434,0.012815794799408954,0.0004423287286716089,0.08318479722455902,0.0009954889814559006,0.0006856509662897899,0.0017424344241619395,0.0010887444115943179,0.0004827116714601361,0.0005479932586086475,0.004369034426431012,0.000961280739124942,9.909602753389242e-05,9.51670066624876e-06,1.489053916886509e-07,2.0978644770817684e-06
Channel Islands,0.07121711439444572,0.03375960515051365,0.0077816920283282475,0.09909017355116213,0.11455998328668282,0.3304348917362462,0.02640834298327478,0.028464466828407486,0.004345319129743203,0.009460751996531661,0.03216665287735923,0.08713791454614626,0.00560221315700439,0.0003727189804608473,0.04544648758241784,0.01844113125395097,0.0019805833251324055,0.0001527511735864893,0.004514481379615286,0.029476329989619535,0.007203786677981637,0.0004924188710117502,0.004875593183628667,0.0039472520456182705,0.0013806562032540927,0.007517834113970244,0.023715031178972005,5.382237493446308e-05
Chile,0.13548194033636524,0.0496389639439227,0.011840987005102922,0.006909334781487941,0.192564329325467,0.21847365658378853,0.003525972603725272,0.20420874568830064,0.004478675731580232,0.01621900480305447,0.013043681003244188,0.04867538865286,0.02896568040772999,0.01138192480841439,0.01290698888429612,2.1530187776623297e-05,0.0032390244457253825,1.8418734748387272e-06,0.0055339185418322645,0.0018093506826676667,0.022988173331718095,0.005935365822676954,0.0013204343921826103,0.00045769431443966086,4.50682640018938e-05,0.00028794497259563076,1.077592225558986e-05,3.360268931313329e-05
